filename,redshift,transition,transition_name,slice_vmin,slice_vmax,ew_vmin,ew_vmax,linelist,method
samples/rbcodes/sdss1.fits,1.3855,2796.35,MgII 2796,-1500,1500,-100,100,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2796.35,MgII 2796,-1500,1500,-150,150,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2796.35,MgII 2796,-1500,1500,-200,200,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2796.35,MgII 2796,-1500,1500,-250,250,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2796.35,MgII 2796,-1500,1500,-300,300,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2796.35,MgII 2796,-1500,1500,-350,350,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2796.35,MgII 2796,-1500,1500,-400,400,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2796.35,MgII 2796,-1500,1500,-450,450,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2796.35,MgII 2796,-1500,1500,-500,500,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2796.35,MgII 2796,-1500,1500,-600,600,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2803.53,MgII 2803,-1500,1500,-100,100,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2803.53,MgII 2803,-1500,1500,-150,150,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2803.53,MgII 2803,-1500,1500,-200,200,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2803.53,MgII 2803,-1500,1500,-250,250,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2803.53,MgII 2803,-1500,1500,-300,300,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2803.53,MgII 2803,-1500,1500,-350,350,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2803.53,MgII 2803,-1500,1500,-400,400,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2803.53,MgII 2803,-1500,1500,-450,450,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2803.53,MgII 2803,-1500,1500,-500,500,atom,closest
samples/rbcodes/sdss1.fits,1.3855,2803.53,MgII 2803,-1500,1500,-600,600,atom,closest
